iter	Passed	Remaining
363	1736	648
364	1742	644
365	1747	639
366	1752	635
367	1758	630
368	1763	626
369	1768	621
370	1772	616
371	1780	612
372	1791	609
373	1795	604
374	1799	599
375	1803	594
376	1806	589
377	1810	584
378	1814	579
379	1818	574
380	1822	569
381	1826	564
382	1830	559
383	1834	554
384	1838	549
385	1842	544
386	1846	539
387	1850	534
388	1854	529
389	1859	524
390	1863	519
391	1868	514
392	1872	509
393	1876	504
394	1880	499
395	1885	495
396	1889	490
397	1894	485
398	1898	480
399	1903	475
400	1907	470
401	1912	466
402	1916	461
403	1921	456
404	1924	451
405	1929	446
406	1933	441
407	1938	437
408	1942	432
409	1946	427
410	1951	422
411	1956	417
412	1960	413
413	1965	408
414	1969	403
415	1973	398
416	1977	393
417	1982	388
418	1986	384
419	1990	379
420	1995	374
421	2000	369
422	2004	364
423	2008	360
424	2014	355
425	2018	350
426	2023	345
427	2027	341
428	2033	336
429	2037	331
430	2042	327
431	2047	322
432	2052	317
433	2056	312
434	2060	307
435	2065	303
436	2069	298
437	2073	293
438	2078	288
439	2083	284
440	2087	279
441	2091	274
442	2096	269
443	2101	265
444	2106	260
